"Keyword","Type","Volume","KD","Cluster","Article Angle","Priority","Content Target","Status"
"knitting gifts for knitters","Commercial","880","0","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for climbers","Commercial","320","0","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"experience gifts for teens","Commercial","260","0","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for popcorn lovers","Informational","320","1","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"left right story for gift exchange","Informational","320","1","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for real estate agents","Commercial","260","1","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"equine gifts for horse lovers","Informational","720","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"horse gifts for horse lovers","Commercial","720","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for equestrian lovers","Commercial","480","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for meat smokers","Commercial","480","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for a designer","Commercial","390","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for kayakers","Commercial","390","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gifts for bourbon lovers","Commercial","320","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for quilters","Informational","320","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"best gift for coffee lovers","Commercial","260","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift bags for bottles of wine","Transactional","260","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift ideas for nursing home residents","Informational","260","2","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for bird watchers","Commercial","720","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for blind person","Commercial","480","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for duck hunters","Commercial","480","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for horse lovers","Informational","480","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for beekeepers","Commercial","390","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for coffee drinkers","Commercial","390","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for flower lovers","Commercial","390","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for guys that hunt","Informational, Commercial","390","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gift for bourbon lover","Commercial","320","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for equine lovers","Commercial","320","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for single moms","Informational","320","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"gifts for the beach","Commercial","320","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
"unique gifts for autistic young adults","Informational","320","3","Commercial Investigation","Gift Guide — Standard","Supporting","Blog Article","Unassigned"
